experiment_id,variant_id,question,winner_case,winner_label,SC_1,HT,R_delay,V_reconf_norm,V_mob_net
E10,conc0.50_res1,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.21605985914214615,1.0,2.999999999625,1.0243129095634294e-16,-81.0836789473683
E10,conc0.50_res2,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.2161090912059097,0.42857142857142855,2.999999999625,7.269317422708208e-17,-81.0836789473683
E10,conc0.50_res3,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.21658411354956525,0.2857142857142857,2.999999999625,4.956352788210142e-17,-79.93372894736876
E10,conc0.50_res4,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.21772111777786227,0.14285714285714285,2.999999999625,4.4607175093891275e-16,-78.78377894736832
E10,conc0.50_res5,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.21828024650275749,0.14285714285714285,2.999999999625,8.260587980350237e-17,-77.63382894736833
E10,conc0.65_res1,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.22435263983195414,1.0,2.999999999625,1.817329355677052e-16,-78.27737894736856
E10,conc0.65_res2,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.22442864890155992,0.42857142857142855,2.999999999625,1.883414059519854e-16,-78.27737894736856
E10,conc0.65_res3,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.22474835899159665,0.2857142857142857,2.999999999625,6.27804686506618e-17,-75.72427894736848
E10,conc0.65_res4,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.22565501463305276,0.14285714285714285,2.999999999625,3.965082230568113e-17,-73.17117894736884
E10,conc0.65_res5,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.22611331825696845,0.14285714285714285,2.999999999625,1.0243129095634294e-16,-70.6180789473683
E10,conc0.80_res1,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.23282003013896668,1.0,2.999999999625,2.9738116729260854e-17,-72.98760894736824
E10,conc0.80_res2,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.23283270026914685,0.42857142857142855,2.999999999625,3.3042351921400945e-17,-72.98760894736824
E10,conc0.80_res3,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.233304962185376,0.2857142857142857,2.999999999625,3.965082230568113e-17,-68.02383394736808
E10,conc0.80_res4,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.2347062856120173,0.14285714285714285,3.2142857138533163,6.938893903494198e-17,-62.18440894736841
E10,conc0.80_res5,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",fixed_only,Case A: Fixed Only,0.23475823962418965,0.14285714285714285,2.999999999625,3.0233752008081865e-16,-57.2206339473687
E10,conc0.95_res1,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",hybrid,Case C: Hybrid,0.2428959492620295,1.0,3.053571428182079,0.376409774413682,-7.039566052631926
E10,conc0.95_res2,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",hybrid,Case C: Hybrid,0.24286090805347155,0.42857142857142855,2.999999999625,0.18820488720684123,-5.458645000000615
E10,conc0.95_res3,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",hybrid,Case C: Hybrid,0.24298180339852768,0.2857142857142857,2.999999999625,0.1301691729245822,-0.3766200000000026
E10,conc0.95_res4,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",hybrid,Case C: Hybrid,0.2436866288882805,0.14285714285714285,3.1071428567391584,0.07213345864232246,14.58020499999975
E10,conc0.95_res5,"Do SC_k, HT, R_delay, and V_reconf_norm help explain who wins?",hybrid,Case C: Hybrid,0.24377254833457995,0.14285714285714285,3.1071428567391584,0.07213345864232247,19.17473000000018
